Parent Airline,Airline,Aircraft Type,Total,Unit Cost,Total Cost (Current)
China Eastern Airlines,Shanghai Airlines,Boeing 767,7,187,1121
China Eastern Airlines,China Eastern Airlines,Boeing 777,16,295,4713
China Eastern Airlines,China Cargo Airlines,Boeing 777,6,295,1767
China Eastern Airlines,China Eastern Airlines,Boeing 787,2,265,0
China Eastern Airlines,China Eastern Airlines,British Aerospace BAe 146/Avro RJ,13,14,0
China Eastern Airlines,China Eastern Airlines,Canadair CRJ-100 Series,5,32,0
China Eastern Airlines,Shanghai Airlines,Canadair CRJ-100 Series,5,32,0
China Eastern Airlines,China United Airlines,Comac ARJ21,2,30,0
China Eastern Airlines,China Eastern Airlines,COMAC C919,2,68,0
China Eastern Airlines,China Eastern Airlines,Embraer ERJ-145,10,20,0
China Eastern Airlines,China Eastern Airlines,Fokker F70 / F100,10,20,0
China Eastern Airlines,China Eastern Airlines,McDonnell Douglas MD-11,6,175,0
China Eastern Airlines,China Cargo Airlines,McDonnell Douglas MD-11,9,175,0
China Eastern Airlines,Shanghai Airlines,McDonnell Douglas MD-11,4,175,0
China Eastern Airlines,China Eastern Airlines,McDonnell Douglas MD-80,16,45,0
China Eastern Airlines,China Eastern Airlines,McDonnell Douglas MD-90,9,45,0
China Southern Airlines,China Southern Airlines,Airbus A300,6,75,0
China Southern Airlines,China Southern Airlines,Airbus A319,41,90,3046
China Southern Airlines,China Southern Airlines,Airbus A320,145,98,12054
China Southern Airlines,China Southern Airlines,Airbus A321,93,115,10111
China Southern Airlines,China Southern Airlines,Airbus A330,39,240,912
China Southern Airlines,China Southern Airlines,Airbus A380,5,433,2163
China Southern Airlines,China Southern Airlines,ATR 42/72,5,22,0
China Southern Airlines,China Southern Airlines,Boeing 737,234,74,12503
China Southern Airlines,China Southern Airlines,Boeing 747,2,316,632
China Southern Airlines,China Southern Airlines,Boeing 757,31,73,508
China Southern Airlines,China Southern Airlines,Boeing 767,6,187,0
China Southern Airlines,China Southern Airlines,Boeing 777,32,295,7658
China Southern Airlines,China Southern Airlines,Boeing 787 Dreamliner,10,265,2651
China Southern Airlines,China Southern Airlines,COMAC C919,3,68,0
China Southern Airlines,China Southern Airlines,Embraer ERJ-145,6,20,0
China Southern Airlines,China Southern Airlines,Embraer ERJ-190,20,46,924
China Southern Airlines,China Southern Airlines,McDonnell Douglas MD-80,23,45,0
China Southern Airlines,China Southern Airlines,McDonnell Douglas MD-90,13,45,0
Copa Airlines,Copa Airlines,Boeing 737,110,74,5622
Copa Airlines,Copa Airlines Colombia,Boeing 737,1,74,74
Copa Airlines,Copa Airlines,Embraer ERJ-190,15,46,554
Copa Airlines,Copa Airlines Colombia,Embraer ERJ-190,14,46,416
Delta Airlines,Delta Airlines,Airbus A310,30,75,0
Delta Airlines,Delta Airlines,Airbus A319,57,90,5107
Delta Airlines,Delta Airlines,Airbus A320,69,98,6762
Delta Airlines,Delta Airlines,Airbus A321,20,115,1609
Delta Airlines,Delta Airlines,Airbus A330,42,240,96
Delta Airlines,Delta Airlines,Airbus A350 XWB,1,312,0
Delta Airlines,Delta Airlines,Boeing 717,91,37,3367
Delta Airlines,Delta Airlines,Boeing 727,7,4,0
Delta Airlines,Delta Airlines,Boeing 737,269,74,11393
Delta Airlines,Delta Airlines,Boeing 747,36,316,2211
Delta Airlines,Delta Airlines,Boeing 757,206,73,928
Delta Airlines,Delta Airlines,Boeing 767,124,187,15887
Delta Airlines,Delta Airlines,Boeing 777,19,295,5302
Delta Airlines,Delta Airlines,Boeing 787 Dreamliner,5,265,0
Delta Airlines,Delta Airlines,Bombardier CS100,5,72,0
Delta Airlines,Endeavor Air,Canadair CRJ-100 Series,140,32,1688
Delta Airlines,Endeavor Air,Canadair CRJ-900,82,46,3726
Delta Airlines,Delta Airlines,Embraer ERJ-190,13,46,508
Delta Airlines,Delta Airlines,McDonnell Douglas DC-10,14,145,0
Delta Airlines,Delta Airlines,McDonnell Douglas DC-8,42,6,0
Delta Airlines,Delta Airlines,McDonnell Douglas DC-9,162,45,0
Delta Airlines,Delta Airlines,McDonnell Douglas MD-11,17,175,0
Delta Airlines,Delta Airlines,McDonnell Douglas MD-80,166,45,522
Delta Airlines,Delta Airlines,McDonnell Douglas MD-90,77,45,2925
easyJet,easyJet,Airbus A319,172,90,11917
easyJet,easyJet - Switzerland,Airbus A319,33,90,986
easyJet,easyJet,Airbus A320,128,98,9898
easyJet,easyJet - Switzerland,Airbus A320,15,98,147
easyJet,easyJet,Airbus A321,8,115,0
easyJet,easyJet,Boeing 737,84,74,0
easyJet,easyJet - Switzerland,Boeing 737,8,74,0
easyJet,easyJet,Boeing 757,4,73,0
EgyptAir,EgyptAir Cargo,Airbus A300,4,75,225
EgyptAir,EgyptAir,Airbus A300,21,75,0
EgyptAir,EgyptAir,Airbus A320,13,98,588
EgyptAir,Air Cairo,Airbus A320,5,98,588
EgyptAir,EgyptAir Cargo,Airbus A320,7,98,0
EgyptAir,EgyptAir,Airbus A321,4,115,460
EgyptAir,Air Cairo,Airbus A321,2,115,0
EgyptAir,EgyptAir,Airbus A330,11,240,264
EgyptAir,EgyptAir Cargo,Airbus A330,8,240,0
EgyptAir,EgyptAir,Airbus A340,4,216,0
EgyptAir,EgyptAir,ATR 42/72,2,22,0
EgyptAir,EgyptAir,Boeing 737,37,74,1628
EgyptAir,EgyptAir,Boeing 747,10,316,0
EgyptAir,EgyptAir,Boeing 767,7,187,0
EgyptAir,EgyptAir,Boeing 777,11,295,2651
EgyptAir,EgyptAir Express,Embraer ERJ-170,12,39,464
EgyptAir,EgyptAir,McDonnell Douglas DC-8,7,6,0
EgyptAir,EgyptAir,McDonnell Douglas DC-9,2,45,0
El Al,El Al,Boeing 737,29,74,1702
El Al,Sun d'Or,Boeing 737,2,74,148
El Al,Up,Boeing 737,4,74,296
El Al,El Al,Boeing 747,26,316,2211
El Al,El Al,Boeing 757,10,73,0
El Al,Sun d'Or,Boeing 757,6,73,0
El Al,El Al,Boeing 767,13,187,1308
El Al,El Al,Boeing 777,6,295,1767
El Al,El Al,Boeing 787,16,265,0
El Al,El Al,McDonnell Douglas DC-8,1,6,0
El Al,El Al,McDonnell Douglas MD-11,1,175,0
Emirates,Emirates,Airbus A300,7,75,0
Emirates,Emirates,Airbus A310,13,75,0
Emirates,Emirates,Airbus A319,1,90,90
Emirates,Emirates,Airbus A330,29,115,0
Emirates,Emirates,Airbus A340,18,216,0
Emirates,Emirates,Airbus A380,102,433,37636
Emirates,Emirates,Boeing 737,1,74,0
Emirates,Emirates,Boeing 747,6,316,632
Emirates,Emirates,Boeing 777,174,295,46833
Ethiopian Airlines,Ethiopian Airlines,Airbus A350 XWB,4,312,624
Ethiopian Airlines,Ethiopian Airlines,ATR 42/72,3,22,0
Ethiopian Airlines,Ethiopian Airlines,Boeing 737,30,74,1554
Ethiopian Airlines,Ethiopian Airlines,Boeing 757,12,73,218
Ethiopian Airlines,Ethiopian Airlines,Boeing 767,18,187,1121
Ethiopian Airlines,Ethiopian Airlines,Boeing 777,16,295,4713
Ethiopian Airlines,Ethiopian Airlines,Boeing 787 Dreamliner,19,265,4242
Ethiopian Airlines,Ethiopian Airlines,De Havilland Canada DHC-8 Dash 8,18,31,563
Ethiopian Airlines,Ethiopian Airlines,Fokker F50 / F60,5,18,0
Ethiopian Airlines,Ethiopian Airlines,McDonnell Douglas MD-11,3,175,0
Etihad Airways,Etihad Airways,Airbus A300,3,75,0
Etihad Airways,Etihad Airways,Airbus A310,1,75,0
Etihad Airways,Etihad Airways,Airbus A319,4,90,179
Etihad Airways,Etihad Airways,Airbus A320,27,98,2254
Etihad Airways,Etihad Airways,Airbus A321,10,115,1149
Etihad Airways,Etihad Airways,Airbus A330,42,240,72
Etihad Airways,Etihad Airways,Airbus A340,13,216,2156
Etihad Airways,Etihad Airways,Airbus A350 XWB,1,312,0
Etihad Airways,Etihad Airways,Airbus A380,9,433,3461
Etihad Airways,Etihad Airways,Boeing 747,2,316,316
Etihad Airways,Etihad Airways,Boeing 767,2,187,0
Etihad Airways,Etihad Airways,Boeing 777,35,295,8837
Etihad Airways,Etihad Airways,Boeing 787 Dreamliner,12,265,2651
EVA Air,EVA Air,Airbus A320,1,98,0
EVA Air,EVA Air,Airbus A321,24,115,2528
EVA Air,Uni Air,Airbus A321,2,115,230
EVA Air,EVA Air,Airbus A330,18,240,24
EVA Air,EVA Air,ATR 42/72,2,22,44
EVA Air,Uni Air,ATR 42/72,13,22,287
EVA Air,EVA Air,Boeing 747,19,316,2842
EVA Air,EVA Air,Boeing 757,2,73,0
EVA Air,Uni Air,Boeing 757,1,73,0
EVA Air,EVA Air,Boeing 767,9,187,0
EVA Air,EVA Air,Boeing 777,29,295,8542
EVA Air,EVA Air,Boeing 787,2,265,0
EVA Air,Uni Air,British Aerospace BAe 146/Avro RJ,4,14,0
EVA Air,Uni Air,De Havilland Canada DHC-8 Dash 8,14,7,0
EVA Air,EVA Air,McDonnell Douglas MD-11,12,175,0
EVA Air,EVA Air,McDonnell Douglas MD-90,7,45,0
EVA Air,Uni Air,McDonnell Douglas MD-90,14,45,0
FedEx Express,FedEx Express,Airbus A300,71,75,51
FedEx Express,FedEx Express,Airbus A310,70,75,600
FedEx Express,FedEx Feeder Fleet,ATR 42-300F/-320F,89,20,507
FedEx Express,FedEx Express,ATR 42/72,52,22,995
FedEx Express,FedEx Feeder Fleet,ATR 72-200F,7,25,519
FedEx Express,FedEx Express,Boeing 727,72,4,0
FedEx Express,FedEx Express,Boeing 737,5,74,0
FedEx Express,FedEx Express,Boeing 747,22,316,0
FedEx Express,FedEx Express,Boeing 757,123,73,8628
FedEx Express,FedEx Express,Boeing 767,61,187,785
FedEx Express,FedEx Express,Boeing 777,43,295,7953
FedEx Express,FedEx Feeder Fleet,Cessna 208B Grand Caravan,7,3,610
FedEx Express,FedEx Express,McDonnell Douglas DC-10,92,145,58
FedEx Express,FedEx Express,McDonnell Douglas DC-8,6,6,0
FedEx Express,FedEx Express,McDonnell Douglas MD-11,71,175,10325
Finnair,Finnair,Airbus A300,2,75,0
Finnair,Finnair,Airbus A319,11,90,806
Finnair,Finnair,Airbus A320,12,98,980
Finnair,Finnair,Airbus A321,12,115,1264
Finnair,Finnair,Airbus A330,8,240,192
Finnair,Finnair,Airbus A340,7,216,431
Finnair,Finnair,Airbus A350 XWB,9,312,2184
Finnair,Finnair,ATR 42/72,15,22,0
Finnair,Finnair,Boeing 737,2,74,0
Finnair,Finnair,Boeing 757,7,73,0
Finnair,Nordic Regional Airlines,Embraer E-190,12,46,554
Finnair,Finnair,Embraer ERJ-170,10,39,0
Finnair,Finnair,Embraer ERJ-190,12,46,554
Finnair,Finnair,McDonnell Douglas DC-10,5,145,0
Finnair,Finnair,McDonnell Douglas DC-8,4,6,0
Finnair,Finnair,McDonnell Douglas DC-9,27,45,0
Finnair,Finnair,McDonnell Douglas MD-11,7,175,0
Finnair,Finnair,McDonnell Douglas MD-80,26,45,0
Finnair,Finnair,Saab 340,3,8,0
Flybe,Flybe,ATR 42/72,9,22,199
Flybe,Flybe,Boeing 737,4,74,0
Flybe,Flybe,British Aerospace BAe 146/Avro RJ,24,14,0
Flybe,Flybe,Canadair CRJ-100 Series,4,32,0
Flybe,Flybe,De Havilland Canada DHC-6 Twin Otter,1,7,7
Flybe,Flybe,De Havilland Canada DHC-8 Dash 8,91,31,1722
Flybe,Flybe,Dornier Do-328,3,8,16
Flybe,Flybe,Embraer ERJ-145,28,20,0
Flybe,Flybe,Embraer ERJ-170,11,39,426
Flybe,Flybe,Embraer ERJ-190,14,46,416
Flybe,Flybe,Saab 2000,3,12,36
Flybe,Flybe,Saab 340,14,8,96
FlyDubai,FlyDubai,Boeing 737,60,74,4143
Frontier Airlines,Frontier Airlines,Airbus A318,11,66,0
Frontier Airlines,Frontier Airlines,Airbus A319,53,90,2061
Frontier Airlines,Frontier Airlines,Airbus A320,36,98,2744
Frontier Airlines,Frontier Airlines,Airbus A321,15,115,1494
Frontier Airlines,Frontier Airlines,Boeing 737,42,74,0
Frontier Airlines,Frontier Airlines,De Havilland Canada DHC-8 Dash 8,11,7,0
Garuda Indonesia,Garuda Indonesia,Airbus A300,22,75,0
Garuda Indonesia,Citilink,Airbus A320,46,98,4018
Garuda Indonesia,Garuda Indonesia,Airbus A330,54,240,576
Garuda Indonesia,Garuda Indonesia,Airbus A340,3,216,0
Garuda Indonesia,Garuda Indonesia,ATR 42/72,15,22,332
Garuda Indonesia,Garuda Indonesia,Boeing 737,149,74,5475
Garuda Indonesia,Citilink,Boeing 737,18,74,296
Garuda Indonesia,Garuda Indonesia,Boeing 747,63,316,632
Garuda Indonesia,Garuda Indonesia,Boeing 767,19,187,0
Garuda Indonesia,Garuda Indonesia,Boeing 777,14,295,2946
Garuda Indonesia,Garuda Indonesia,Canadair CRJ-1000,18,49,882
Garuda Indonesia,Garuda Indonesia,Lockheed L-1011 TriStar,1,190,0
Garuda Indonesia,Garuda Indonesia,McDonnell Douglas DC-10,25,145,0
Garuda Indonesia,Garuda Indonesia,McDonnell Douglas DC-8,11,6,0
Garuda Indonesia,Garuda Indonesia,McDonnell Douglas DC-9,25,45,0
Garuda Indonesia,Garuda Indonesia,McDonnell Douglas MD-11,18,175,0
Gol Linhas Aéreas,Gol Linhas Aéreas,Boeing 737,191,74,9174
Grupo Aeromexico,Aeromexico Express,ATR 42/72,2,22,44
Grupo Aeromexico,Aeromexico,Boeing 737,74,74,3921
Grupo Aeromexico,Aeromexico,Boeing 757,11,73,0
Grupo Aeromexico,Aeromexico,Boeing 767,16,187,0
Grupo Aeromexico,Aeromexico,Boeing 777,4,295,1178
Grupo Aeromexico,Aeromexico,Boeing 787 Dreamliner,14,265,3181
Grupo Aeromexico,Aeromexico Connect,Embraer ERJ-145,40,20,372
Grupo Aeromexico,Aeromexico Connect,Embraer ERJ-170,16,39,542
Grupo Aeromexico,Aeromexico Connect,Embraer ERJ-190,36,46,1663
Grupo Aeromexico,Aeromexico,McDonnell Douglas DC-10,6,145,0
Grupo Aeromexico,Aeromexico,McDonnell Douglas DC-8,13,6,0
Grupo Aeromexico,Aeromexico,McDonnell Douglas DC-9,34,45,0
Grupo Aeromexico,Aeromexico,McDonnell Douglas MD-80,53,45,0
Gulf Air,Gulf Air,Airbus A319,2,90,0
Gulf Air,Gulf Air,Airbus A320,34,98,1568
Gulf Air,Gulf Air,Airbus A321,8,115,689
Gulf Air,Gulf Air,Airbus A330,12,240,144
Gulf Air,Gulf Air,Airbus A340,10,216,0
Gulf Air,Gulf Air,Boeing 737,14,74,0
Gulf Air,Gulf Air,Boeing 747,2,316,0
Gulf Air,Gulf Air,Boeing 757,1,73,0
Gulf Air,Gulf Air,Boeing 767,22,187,0
Gulf Air,Gulf Air,Boeing 777,4,295,0
Gulf Air,Gulf Air,Boeing 787,7,265,0
Gulf Air,Gulf Air,Bombardier CS100,7,72,0
Gulf Air,Gulf Air,Embraer ERJ-170,2,39,0
Gulf Air,Gulf Air,Embraer ERJ-190,2,46,0
Hainan Airlines,Lucky Air (86.68%),Airbus A319,3,90,269
Hainan Airlines,Capital Airlines (70%),Airbus A319,29,90,1702
Hainan Airlines,Hainan Airlines,Airbus A319,6,90,0
Hainan Airlines,Lucky Air (86.68%),Airbus A320,8,98,686
Hainan Airlines,Capital Airlines (70%),Airbus A320,34,98,3332
Hainan Airlines,Capital Airlines (70%),Airbus A321,11,115,1264
Hainan Airlines,Hainan Airlines,Airbus A330,28,240,528
Hainan Airlines,Capital Airlines (70%),Airbus A330,8,240,960
Hainan Airlines,Hainan Airlines,Airbus A340,3,216,0
Hainan Airlines,Hainan Airlines,Boeing 737,173,74,9321
Hainan Airlines,China Xinhua Airlines (100%),Boeing 737,17,74,370
Hainan Airlines,Lucky Air (86.68%),Boeing 737,34,74,1923
Hainan Airlines,Urumqi Airlines (70%),Boeing 737,9,74,666
Hainan Airlines,Chang An Airlines (67.01%),Boeing 737-800,11,96,288
Hainan Airlines,Hainan Airlines,Boeing 767,5,187,561
Hainan Airlines,Hainan Airlines,Boeing 787 Dreamliner,21,265,4772
Hainan Airlines,Hainan Airlines,COMAC C919,23,68,0
Hainan Airlines,Hainan Airlines,Dornier Do-328,27,8,0
Hawaiian Airlines,Hawaiian Airlines,Airbus A321,11,115,0
Hawaiian Airlines,Hawaiian Airlines,Airbus A330,23,240,552
Hawaiian Airlines,Hawaiian Airlines,ATR 42/72,7,22,66
Hawaiian Airlines,Hawaiian Airlines,Boeing 717,21,37,666
Hawaiian Airlines,Hawaiian Airlines,Boeing 767,18,187,1495
Hawaiian Airlines,Hawaiian Airlines,McDonnell Douglas DC-10,25,145,0
Hawaiian Airlines,Hawaiian Airlines,McDonnell Douglas DC-8,11,6,0
Hawaiian Airlines,Hawaiian Airlines,McDonnell Douglas DC-9,38,45,0
Hawaiian Airlines,Hawaiian Airlines,McDonnell Douglas MD-80,6,45,0
IAG,British Airways,Aérospatiale/BAC Concorde,7,29,0
IAG,Iberia,Airbus A300,9,75,0
IAG,British Airways,Airbus A318,2,66,133
IAG,British Airways,Airbus A319,44,90,3942
IAG,Iberia,Airbus A319,27,90,1434
IAG,Vueling,Airbus A319,10,90,448
IAG,Aer Lingus,Airbus A319,4,90,0
IAG,British Airways,Airbus A320,78,98,6566
IAG,Iberia,Airbus A320,75,98,1372
IAG,Iberia Express,Airbus A320,30,98,1764
IAG,Aer Lingus,Airbus A320,40,98,3332
IAG,Vueling,Airbus A320,134,98,9114
IAG,British Airways,Airbus A321,18,115,2068
IAG,Iberia,Airbus A321,19,115,1609
IAG,Iberia Express,Airbus A321,3,115,345
IAG,Aer Lingus,Airbus A321,6,115,345
IAG,Vueling,Airbus A321,11,115,1149
IAG,Iberia,Airbus A330,20,240,408
IAG,Aer Lingus,Airbus A330,15,240,24
IAG,Iberia,Airbus A340,39,216,3664
IAG,British Airways,Airbus A350,5,312,0
IAG,Iberia,Airbus A350,8,312,0
IAG,Aer Lingus,Airbus A350 XWB,1,312,0
IAG,British Airways,Airbus A380,12,433,5191
IAG,Air Nostrum/Iberia Regional,ATR 42/72,19,22,111
IAG,Aer Lingus Regional,ATR 42/72,23,22,243
IAG,British Airways,Boeing 737,123,74,0
IAG,Iberia,Boeing 737,10,74,0
IAG,Aer Lingus,Boeing 737,38,74,0
IAG,Iberia,Boeing 747,21,316,0
IAG,British Airways,Boeing 747,101,316,11685
IAG,Aer Lingus,Boeing 747,4,316,0
IAG,British Airways,Boeing 757,56,73,0
IAG,Iberia,Boeing 757,30,73,0
IAG,OpenSkies,Boeing 757,4,73,218
IAG,Aer Lingus,Boeing 757,4,73,290
IAG,Iberia,Boeing 767,2,187,0
IAG,British Airways,Boeing 767,31,187,1308
IAG,OpenSkies,Boeing 767,1,187,187
IAG,Aer Lingus,Boeing 767,3,187,0
IAG,British Airways,Boeing 777,61,295,17084
IAG,British Airways,Boeing 787 Dreamliner,24,265,6097
IAG,British Airways,British Aerospace BAe 146/Avro RJ,4,14,0
IAG,BA CityFlyer,British Aerospace BAe 146/Avro RJ,12,14,0
IAG,Air Nostrum/Iberia Regional,British Aerospace BAe 146/Avro RJ,3,14,0
IAG,Aer Lingus,British Aerospace BAe 146/Avro RJ,12,14,0
IAG,British Airways,British Aerospace BAe ATP,16,14,0
IAG,Air Nostrum/Iberia Regional,Canadair CRJ-100 Series,37,32,350
IAG,Air Nostrum/Iberia Regional,Canadair CRJ-1000,18,49,784
IAG,Air Nostrum/Iberia Regional,Canadair CRJ-900,13,46,598
IAG,British Airways,De Havilland Canada DHC-6 Twin Otter,1,7,0
IAG,British Airways,De Havilland Canada DHC-8 Dash 8,2,7,0
IAG,Air Nostrum/Iberia Regional,De Havilland Canada DHC-8 Dash 8,19,7,0
IAG,BA CityFlyer,Embraer ERJ-170,6,39,232
IAG,BA CityFlyer,Embraer ERJ-190,14,46,647
IAG,Air Nostrum/Iberia Regional,Fokker F50 / F60,37,18,0
IAG,Aer Lingus,Fokker F50 / F60,8,18,0
IAG,British Airways,Fokker F70 / F100,6,20,0
IAG,British Airways,Lockheed L-1011 TriStar,6,190,0
IAG,British Airways,McDonnell Douglas DC-10,8,145,0
IAG,Iberia,McDonnell Douglas DC-10,13,145,0
IAG,Iberia,McDonnell Douglas DC-8,17,6,0
IAG,Aer Lingus,McDonnell Douglas DC-8,2,6,0
IAG,Iberia,McDonnell Douglas DC-9,50,45,0
IAG,Aer Lingus,McDonnell Douglas MD-11,1,175,0
IAG,Iberia,McDonnell Douglas MD-80,39,45,0
IAG,BA CityFlyer,Saab 2000,3,12,24
IAG,British Airways,Saab 340,11,8,0
Iceland Air Group,Iceland Air Group,Boeing 737,8,74,0
Iceland Air Group,Iceland Air Group,Boeing 747,1,316,0
Iceland Air Group,Iceland Air Group,Boeing 757,41,73,203
Iceland Air Group,Iceland Air Group,Boeing 767,9,187,748
Iceland Air Group,Iceland Air Group,Boeing 787,4,265,0
Iceland Air Group,Iceland Air Group,McDonnell Douglas DC-8,17,6,0
IndiGo,IndiGo,Airbus A320,150,98,12152
IndiGo,IndiGo,Airbus A321,,115,0
Interjet,Interjet,Airbus A320,50,98,441
Interjet,Interjet,Airbus A321,3,115,345
Interjet,Interjet,Sukhoi Superjet 100,25,28,605
Japan Airlines,Japan Airlines,Airbus A300,22,75,0
Japan Airlines,Japan Airlines,Airbus A350,67,312,0
Japan Airlines,Japan Air Commuter (60% owned),ATR 42-600,5,20,0
Japan Airlines,Japan Airlines,Boeing 737,57,74,3699
Japan Airlines,Japan Transocean Air (72.8%),Boeing 737,36,74,962
Japan Airlines,Japan Airlines,Boeing 747,114,316,0
Japan Airlines,Japan Transocean Air (72.8%),Boeing 767,2,187,0
Japan Airlines,Japan Airlines,Boeing 767,60,187,7289
Japan Airlines,Japan Airlines,Boeing 777,46,295,11782
Japan Airlines,Japan Airlines,Boeing 787 Dreamliner,37,265,8218
Japan Airlines,J-Air,Canadair CRJ-200 Series,9,32,255
Japan Airlines,Japan Air Commuter (60% owned),De Havilland Canada DHC-8 Dash 8,11,31,313
Japan Airlines,J-Air,Embraer ERJ-170,17,39,658
Japan Airlines,J-Air,Embraer ERJ-190,5,46,139
Japan Airlines,Japan Airlines,McDonnell Douglas DC-10,20,145,0
Japan Airlines,Japan Airlines,McDonnell Douglas DC-8,58,6,0
Japan Airlines,Japan Airlines,McDonnell Douglas MD-11,10,175,0
Japan Airlines,Japan Airlines,McDonnell Douglas MD-80,19,45,0
Japan Airlines,Japan Airlines,McDonnell Douglas MD-90,16,45,0
Japan Airlines,Japan Airlines,Mitsubishi MRJ90,7,47,0
Japan Airlines,J-Air,Mitsubishi MRJ90,2,47,0
Japan Airlines,Japan Air Commuter (60% owned),Saab 340,11,8,72
Japan Airlines,Hokkaido Air System (57.3%),Saab 340,3,8,24
Jazz Airlines,Jazz Airlines,Bombardier Q400 Nextgen,8,31,1221
Jazz Airlines,Jazz Airlines,Canadair CRJ-200,58,32,446
Jazz Airlines,Jazz Airlines,Canadair CRJ-705,21,41,656
Jazz Airlines,Jazz Airlines,Canadair CRJ-900,2,46,0
Jazz Airlines,Jazz Airlines,De Havilland Canada DHC-8 Dash 8,108,31,1471
Jet Airways,Jet Airways,Airbus A320,1,98,0
Jet Airways,Jet Airways,Airbus A330,16,240,264
Jet Airways,Jet Airways,Airbus A340,3,216,0
Jet Airways,Jet Airways,ATR 42/72,21,22,287
Jet Airways,Jet Airways,Boeing 737,123,74,5179
Jet Airways,Jet Airways,Boeing 777,10,295,2651
Jet Airways,Jet Airways,Boeing 787,7,265,0
Jet2,Jet2,Airbus A320,2,98,0
Jet2,Jet2,Airbus A321,1,115,0
Jet2,Jet2,Boeing 737,71,74,3699
Jet2,Jet2,Boeing 757,16,73,798
Jet2,Jet2,British Aerospace BAe 146/Avro RJ,1,14,0
JetBlue,JetBlue Airways,Airbus A320,142,98,1274
JetBlue,JetBlue Airways,Airbus A321,39,115,4022
JetBlue,JetBlue Airways,Embraer ERJ-190,64,46,2772
Juneyao Airlines,Juneyao Airlines,Airbus A319,2,90,0
Juneyao Airlines,Juneyao Airlines,Airbus A320,41,98,4018
Juneyao Airlines,Juneyao Airlines,Airbus A321,20,115,2068
Kenya Airways,Kenya Airways,Airbus A310,6,75,0
Kenya Airways,Kenya Airways,Boeing 737,28,74,888
Kenya Airways,Jambojet Limited,Boeing 737,3,74,148
Kenya Airways,Kenya Airways,Boeing 757,1,73,0
Kenya Airways,Kenya Airways,Boeing 767,12,187,0
Kenya Airways,Kenya Airways,Boeing 777,7,295,0
Kenya Airways,Kenya Airways,Boeing 787 Dreamliner,9,265,1856
Kenya Airways,Jambojet Limited,De Havilland Canada DHC-8 Dash 8,1,31,31
Kenya Airways,Kenya Airways,Embraer ERJ-170,5,39,0
Kenya Airways,Kenya Airways,Embraer ERJ-190,15,46,693
Kenya Airways,Kenya Airways,Fokker F50 / F60,3,18,0
Kenya Airways,Kenya Airways,McDonnell Douglas DC-8,2,6,0
Kenya Airways,Kenya Airways,McDonnell Douglas DC-9,2,45,0
Korean Air,Korean Air,Airbus A300,40,75,0
Korean Air,Korean Air,Airbus A321neo,8,126,0
Korean Air,Korean Air,Airbus A330,30,240,696
Korean Air,Korean Air,Airbus A380,10,433,4326
Korean Air,Korean Air,Boeing 727,1,4,0
Korean Air,Korean Air,Boeing 737,51,74,2959
Korean Air,Jin Air,Boeing 737,18,74,1332
Korean Air,Korean Air,Boeing 747,88,316,10737
Korean Air,Korean Air,Boeing 777,53,295,14138
Korean Air,Jin Air,Boeing 777,4,295,1178
Korean Air,Korean Air,Boeing 787 Dreamliner,3,265,0
Korean Air,Korean Air,Bombardier BD-500 CSeries,1,82,0
Korean Air,Korean Air,Bombardier CS300,6,72,0
Korean Air,Korean Air,Eurocopter EC135,5,31,0
Korean Air,Korean Air,Fokker F70 / F100,12,20,0
Korean Air,Korean Air,McDonnell Douglas DC-10,6,145,0
Korean Air,Korean Air,McDonnell Douglas DC-8,6,6,0
Korean Air,Korean Air,McDonnell Douglas DC-9,2,45,0
Korean Air,Korean Air,McDonnell Douglas MD-11,5,175,0
Korean Air,Korean Air,McDonnell Douglas MD-80,16,45,0
LATAM Airlines Chile,LATAM Airlines Brazil,Airbus A319,25,90,2061
LATAM Airlines Chile,LATAM Airlines Chile,Airbus A319,17,90,1523
LATAM Airlines Chile,LATAM Airlines Ecuador,Airbus A319,6,90,538
LATAM Airlines Chile,LATAM Airlines Peru,Airbus A319,2,90,717
LATAM Airlines Chile,LATAM Airlines Argentina,Airbus A320,14,98,1372
LATAM Airlines Chile,LATAM Airlines Brazil,Airbus A320,81,98,7154
LATAM Airlines Chile,LATAM Airlines Chile,Airbus A320,59,98,5488
LATAM Airlines Chile,LATAM Airlines Peru,Airbus A320-200,5,98,1372
LATAM Airlines Chile,LATAM Airlines Brazil,Airbus A321,31,115,3562
LATAM Airlines Chile,LATAM Airlines Chile,Airbus A321,16,115,1838
LATAM Airlines Chile,LATAM Airlines Brazil,Airbus A350 XWB,8,312,1872
LATAM Airlines Chile,LATAM Airlines Argentina,Boeing 767,3,187,561
LATAM Airlines Chile,LATAM Airlines Brazil,Boeing 767,14,187,2617
LATAM Airlines Chile,LATAM Airlines Chile,Boeing 767,22,187,3738
LATAM Airlines Chile,LATAM Airlines Ecuador,Boeing 767,7,187,561
LATAM Airlines Chile,LATAM Cargo Brazil,Boeing 767,3,187,561
LATAM Airlines Chile,LATAM Cargo Chile,Boeing 767,3,187,561
LATAM Airlines Chile,LATAM Airlines Brazil,Boeing 777,10,295,2946
LATAM Airlines Chile,LATAM Cargo Chile,Boeing 777,2,295,589
LATAM Airlines Chile,LATAM Airlines Peru,Boeing 787,7,265,795
